,tcen,tdur,orbit_flag,log_lik_mono,model_success,log_per,b,log_ror,ror,r_pl,period,vrel,third_light,depth,depth_err,snr,cdpp,Ntrans,snr_r,init_tdur,flag,sin_fun,sin_bic,sin_llk,sin_llk_ratio,sin_DeltaBIC,step_fun,step_bic,step_llk,step_llk_ratio,step_DeltaBIC,poly_fun,poly_bic,poly_llk,poly_llk_ratio,poly_DeltaBIC,trans_llk,asteroid_DeltaBIC,centroid_DeltaBIC,instrumental_snr_ratio,asteroid_dip_llk,asteroid_nodip_llk,asteroid_log_llk_ratio,asteroid_rel_bg_boost,asteroid_rel_event_dur,asteroid_rel_event_time_offset,centroid_llk_ratio,x_centroid,y_centroid,x_centroid_SNR,y_centroid_SNR,llk_trans,llk_sin,llk_poly,BIC_trans,BIC_sin,BIC_poly,period_err,DeltaBIC,P_min,init_depth,asteroid_dip_fun,asteroid_dip_nit,asteroid_dip_nfev,asteroid_dip_status,asteroid_dip_message,asteroid_dip_bic,asteroid_nodip_fun,asteroid_nodip_bic,asteroid_ampl,asteroid_dur,asteroid_bg_stdw,asteroid_bg_stdr,asteroid_snrw,asteroid_snrr,sin_sin_llk,step_sin_llk,poly_sin_llk,mean,Date,Densitygcm3,Densitygcm3e,Densitygcm3em,Densitygcm3ep,Distancepc,Distancepce,Distancepcem,Distancepcep,Group,Luminositye,Luminosityem,Luminosityep,MassM_Sun,MassM_Sune,MassM_Sunem,MassM_Sunep,Metallicitye,Metallicityem,Metallicityep,Notes,RadiusR_Sun,RadiusR_Sune,RadiusR_Sunem,RadiusR_Sunep,TOI,Tag,TeffK,TeffKe,TeffKem,TeffKep,User,bmag,bmage,bmagem,bmagep,dec,feh,gmag,gmage,gmagem,gmagep,hmag,hmage,hmagem,hmagep,id,in_ctl,jmag,jmage,jmagem,jmagep,kmag,kmage,kmagem,kmagep,lat_ecl,lat_gal,logg,logge,loggem,loggep,long_ecl,long_gal,lum,mission,n_TOIs,n_contams,planet_names,pm_dec,pm_ra,ra,ratio_contams,spec,star_name,tmag,tmage,tmagem,tmagep,vmag,vmage,vmagem,vmagep,Vsinie,Vsiniem,Vsiniep,vsini,w1mag,w1mage,w1magem,w1magep,w2mag,w2mage,w2magem,w2magep,w3mag,w3mage,w3magem,w3magep,w4mag,w4mage,w4magem,w4magep,,e,em,ep,g,ge,gem,gep,i,ie,iem,iep,r,re,rem,rep,u,ue,uem,uep,z,ze,zem,zep,DeltaMag,Filter,ObservationDateUT,PosAngleEofNdeg,Separationarcsec,Aliases,FeH,FeHe,FeHem,FeHep,GalLat,GalLong,Proposals,campaign,dis,dise,disem,disep,kepmag,kepmage,kepmagem,kepmagep,mass,masse,massem,massep,objtype,rad,rade,radem,radep,rho_gcm3,rho_gcm3e,rho_gcm3em,rho_gcm3ep,teff,teffe,teffem,teffep
EPIC201132684,630.8957710963922,0.5017501519398462,mono,992.4207646778167,False,5.745194818781272,0.26950115762347937,-3.3847839344088584,0.03388496292932886,3.494835117089075,312.6845387173248,3.9786411271405644,0.0,0.0013498747875880313,6.51850270386809e-05,20.708356641273056,0.00010253144669790052,1,13.16547099511151,0.5313,planet,269.8768463435072,563.023494437802,-269.8768463435072,-677.069069439256,-674.069069439256,-45.57056956650233,-58.563416681902,45.57056956650233,-361.62165352924643,-360.62165352924643,1280.6876933864958,2570.6833074733067,-1280.6876933864958,-1687.8799164822444,-1681.8799164822444,407.1922230957488,14.469836588438511,,,-64.39826907054538,-64.90193372514793,0.5036646546025452,-0.45813993481552756,-0.6031807518535023,-0.09861372674285966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.336,0.208,0.208,0.208,-05:43:18.15,,,,,,10.051,0.021,0.021,0.021,201132684,,10.432,0.024,0.024,0.024,9.974,0.021,0.021,0.021,,,4.512,0.042,0.042,0.042,,,,k2,,,,,,11:59:45.6,,,,,,,,11.774,0.174,0.174,0.174,,,,,,,,,,,,,,,,,,,,,,,,,12.119,0.03,0.03,0.03,11.49,0.21,0.21,0.21,11.571,0.01,0.01,0.01,,,,,,,,,,,,,,"2MASS J11594560-0543182,2MASS J11594560-0543182, TYC 4938-997-1, WISE J115945.55-054318.1",-0.146,0.21,0.21,0.21,54.852859,280.198486,"GO10068_LC, GO10032_LC, GO10077_LC",10.0,179.5,27.65,27.65,27.65,11.678,,,,0.903,0.09,0.09,0.09,STAR,0.876,0.07,0.07,0.07,1.338,0.2633,0.2633,0.2633,5549.0,89.0,89.0,89.0
EPIC201346989,609.7269005185517,0.2517712769797124,mono,750.6899092616991,False,3.714795154184731,0.518668361987032,-3.880370477240437,0.020643175938009333,2.3868953338379564,41.05017726603509,6.982774850421251,0.0,0.00047929962105763835,3.38124899443823e-05,14.175224062056113,6.554761140157554e-05,1,7.312236263213668,0.24758558463722122,planet,-458.98653817577616,-897.7578200123796,458.98653817577616,-23.295202905383917,-20.295202905383917,-470.3387802819285,-912.3762016890151,470.3387802819285,-11.942960799231571,-10.942960799231571,-414.5569411116746,-821.0277796876801,414.5569411116746,-67.7247999694855,-61.7247999694855,482.2817410811601,-70645.09414855484,,,,,35330.40173722167,,,,,,,,,,,,,,,,,,,105.35770323857236,10,96,0,,247.37050021695435,35435.75944046024,70892.4646487718,3.7482133117650584e-06,0.35303565778227974,0.039327808902650085,1.0266957495511604,0.0003961702966573137,1.5175391275026066e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.486,0.04,0.04,0.04,-01:45:05.23,,,,,,10.825,0.021,0.021,0.021,201346989,,11.186,0.026,0.026,0.026,10.707,0.019,0.019,0.019,,,3.789,0.786,0.786,0.786,,,,k2,,,,,,12:13:14.45,,,,,,,,12.644,0.05,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,13.003,0.02,0.02,0.02,12.165,0.02,0.02,0.02,12.405,0.01,0.01,0.01,,,,,,,,,,,,,,"2MASS J12131445-0145052,2MASS J12131445-0145052, WISE J121314.45-014505.4",-0.46,0.63,0.63,0.63,59.690193,283.750336,"GO10068_LC, GO10032_LC, GO10077_LC, GO10033_LC",10.0,561.5,481.6,481.6,481.6,12.417,,,,0.903,0.123,0.123,0.123,STAR,1.956,2.019,2.019,2.019,0.09903,1.306,1.306,1.306,5369.0,129.0,129.0,129.0
EPIC201499765,-182.72144877744702,0.12455809038349339,mono,571.0429828316268,False,1.5150754138206504,0.6726909852138196,-3.7946859917371967,0.022489966743470462,3.238825090660668,4.549764229011728,12.3644657667855,0.0,0.0005324233733097206,3.700474950934598e-05,14.387973986291971,3.7146957370276154e-05,1,14.332893216598926,0.16,planet,-254.0078351998515,-491.00968349139225,254.0078351998515,-9.472104008118379,-6.472104008118379,-249.43114924354285,-475.05391681545063,249.43114924354285,-14.048789964427044,-13.048789964427044,-223.1442101954241,-439.48602562752393,223.1442101954241,-40.335729012545784,-34.335729012545784,263.4799392079699,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.519,0.07,0.07,0.07,00:31:07.96,,,,,,11.468,0.023,0.023,0.023,201499765,,11.741,0.026,0.026,0.026,11.42,0.024,0.024,0.024,,,4.192,0.17,0.17,0.17,,,,k2,,,,,,11:30:56.99,,,,,,,,12.878,0.04,0.04,0.04,,,,,11.359,0.022,0.022,0.022,11.396,0.021,0.021,0.021,11.197,0.167,0.167,0.167,8.836,,,,,,,,13.125,0.03,0.03,0.03,12.613,0.05,0.05,0.05,12.738,0.03,0.03,0.03,,,,,,,,,,,,,,"2MASS J11305698+0031077,2MASS J11305698+0031077, WISE J113056.98+003107.9",-0.175,0.18,0.18,0.18,57.114826,263.61731,GO1054_LC,1.0,570.6,179.5,179.5,179.5,12.766,,,,1.074,0.115,0.115,0.115,STAR,1.324,0.388,0.388,0.388,0.4062,0.3415,0.3415,0.3415,6105.0,97.0,97.0,97.0
EPIC202071394,-223.7716296598521,0.05360435990903323,mono,543.5463929394109,False,1.733063576625174,0.7708934420407726,-3.2471614519977363,0.038884426638583124,2.191321449967898,5.657960981128271,25.983796715981235,0.0,0.0014730532690921789,8.854232462555377e-05,16.636713293012505,6.304737033188103e-05,1,23.364230123128596,0.1839,planet,29.36334028595602,70.23960603688226,-29.36334028595602,-92.61834155760343,-89.61834155760343,149.85430892999486,311.22154332495995,-149.85430892999486,-213.10931020164227,-210.10931020164227,161.97703645908038,328.55924310414883,-161.97703645908038,-225.2320377307278,-219.2320377307278,63.25500127164741,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27:36:48.96,,,,,,9.979,0.019,0.019,0.019,202071394,,10.533,0.021,0.021,0.021,9.879,0.017,0.017,0.017,,,,,,,,,,k2,,,,,,06:32:56.05,,,,,,,,,,,,,,,,9.774,0.023,0.023,0.023,9.789,0.021,0.021,0.021,9.712,0.053,0.053,0.053,8.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2MASS J06325605+2736489,2MASS J06325605+2736489, WISE J063256.01+273646.2",,,,,8.496631,186.185669,"GO0098_LC, GO0111_LC",0.0,,,,,12.4,,,,,,,,,,,,,,,,,,,,
EPIC202088428,-217.70790385804696,0.13201808861500416,mono,633.3521655394321,False,2.7778040566784314,0.5557430108269706,-3.738166110465857,0.02379770550117523,1.9808801071811515,16.083663327500194,13.025975905163747,0.0,0.0006315767214437606,5.0420738902802254e-05,12.526129826484143,7.1318392132641e-05,1,8.855734159978358,0.2248,planet,-229.70825360279966,-442.7554846547233,229.70825360279966,-2.8080155857437035,0.19198441425629653,-229.014617738888,-434.7038039065496,229.014617738888,-3.5016514496553555,-2.5016514496553555,-218.28368648018605,-429.90296394002166,218.28368648018605,-14.232582708357313,-8.232582708357313,232.51626918854336,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27:49:54.63,,,,,,11.675,0.029,0.029,0.029,202088428,,12.152,0.022,0.022,0.022,11.597,0.021,0.021,0.021,,,,,,,,,,k2,,,,,,06:39:10,,,,,,,,,,,,,,,,11.574,0.023,0.023,0.023,11.613,0.022,0.022,0.022,11.298,0.249,0.249,0.249,8.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2MASS J06391000+2749546,2MASS J06391000+2749546, WISE J063909.99+274954.6",,,,,9.832599,186.597366,GO0111_LC,0.0,,,,,13.7,,,,,,,,,,,,,,,,,,,,
EPIC204533587,-73.56979342035994,0.3696533675294896,mono,602.2157942271447,True,5.029750471130455,0.3265776680150184,-3.764119913457291,0.023188010713956646,2.3021288916923295,152.8948562546054,5.246376793020691,0.0,0.0006252196618190859,4.365298876110727e-05,14.322493821456888,6.345496489409161e-05,1,9.852966790898044,0.3882,planet,-392.8444298251448,-763.5946566113066,392.8444298251448,-144.60769736565754,-141.60769736565754,-442.6779194750778,-854.4239546955794,442.6779194750778,-94.77420771572457,-93.77420771572457,-172.70528629756228,-336.57289137953137,172.70528629756228,-364.74684089324006,-358.74684089324006,537.4521271908023,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.504,0.043,0.043,0.043,-21:56:55.77,,,,,,10.286,0.037,0.037,0.037,204533587,,10.715,0.03,0.03,0.03,10.189,0.033,0.033,0.033,,,4.544,1.07,1.07,1.07,,,,k2,,,,,,15:55:06.37,,,,,,,,12.569,0.01,0.01,0.01,,,,,9.887,0.023,0.023,0.023,9.906,0.02,0.02,0.02,9.867,0.065,0.065,0.065,8.162,,,,,,,,13.016,0.02,0.02,0.02,11.908,0.01,0.01,0.01,12.232,0.04,0.04,0.04,,,,,,,,,,,,,,"2MASS J15550637-2156555,2MASS J15550637-2156555, WISE J155506.33-215656.0",-0.286,0.36,0.36,0.36,23.819067,349.675903,"GO2054_LC, GO2104_LC, GO15015_LC, GO15009_LC, GO15021_LC, GO15020_LC","2,15",197.5,374.8,374.8,374.8,12.24,,,,0.861,0.127,0.127,0.127,STAR,0.805,2.06,2.06,2.06,1.524,1.487,1.487,1.487,5090.0,141.0,141.0,141.0
EPIC211325600,1275.313421793287,0.2826217254663057,mono,797.3970959198115,False,2.992350246334587,0.5377634352139072,-3.048652646631528,0.047422776603533695,8.810040824703515,19.932473707855358,6.360695266526019,0.0,0.0024725991403240655,0.00010487896338458322,23.57573969583616,0.00012926238734437226,1,19.128527571881612,0.3064,planet,-292.0649643925193,-563.8277137323065,292.0649643925193,-165.33390954928797,-162.33390954928797,-301.8961145909136,-575.3691281080023,301.8961145909136,-155.50275935089365,-154.50275935089365,79.09941714817685,166.31972031744655,-79.09941714817685,-536.4982910899841,-530.4982910899841,457.39887394180727,13.44871650891318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.527,0.11,0.11,0.11,10:21:47.35,,,,,,12.408,0.053,0.053,0.053,211325600,,12.563,0.04,0.04,0.04,12.33,0.041,0.041,0.041,,,,,,,,,,k2,,,,,,08:31:48.22,,,,,,,,12.944,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,13.272,0.12,0.12,0.12,12.934,0.26,0.26,0.26,12.814,0.05,0.05,0.05,,,,,,,,,,,,,,2MASS J08314822+1021473,,,,,26.954445,214.868103,"GO18049_LC,GO18067_LC",18.0,,,,,13.036,,,,,,,,STAR,,,,,,,,,,,,
EPIC211351543,206.77774340989413,0.19758729993119584,mono,917.7874920677867,False,3.1998660061900908,0.5372628147974778,-3.9823948045911943,0.018640944422012827,2.2581284776425656,24.529243210144397,8.760028351341612,0.0,0.0003834656877435481,1.74520028475117e-05,21.972589111640126,2.1761285010185663e-05,1,17.621463418362556,0.2656,planet,-382.2375583009959,-745.3319096195463,382.2375583009959,-49.87660829025248,-46.87660829025248,-372.9206463156288,-719.0408028558339,372.9206463156288,-59.19352027561956,-58.19352027561956,-249.48642182529838,-491.31556085761855,249.48642182529838,-182.62774476594998,-176.62774476594998,432.11416659124836,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.908,0.147,0.147,0.147,10:50:33.89,,,,,,10.179,0.029,0.029,0.029,211351543,,10.44,0.021,0.021,0.021,10.123,0.024,0.024,0.024,,,4.044,0.25,0.25,0.25,,,,k2,,,,,,08:37:20.04,,,,,,,,11.564,0.162,0.162,0.162,,,,,10.116,0.023,0.023,0.023,10.14,0.02,0.02,0.02,10.073,0.067,0.067,0.067,8.181,,,,,,,,11.568,0.03,0.03,0.03,11.184,0.12,0.12,0.12,11.321,0.15,0.15,0.15,,,,,,,,,,,,,,"2MASS J08372002+1050339,2MASS J08372002+1050339, TYC 801-61-1, WISE J083720.02+105033.8",-0.056,0.12,0.12,0.12,28.388292,215.031219,"GO5029_LC, GO5033_LC, GO18047_LC, GO18049_LC, GO18067_LC, GO18901_LC, GO18047_SC","5,18",404.1,204.2,204.2,204.2,11.383,,,,1.274,0.293,0.293,0.293,STAR,1.664,0.813,0.813,0.813,0.2345,0.3478,0.3478,0.3478,6251.0,188.0,188.0,188.0
EPIC211518462,185.39625704196322,0.19845364829508302,mono,743.7643856645269,False,3.7741824830307937,0.5158627344756893,-4.2048917473404375,0.014922401371271385,1.370140381380247,43.561881177739444,8.80854673501536,0.0,0.0002495149039403653,2.4674185296178545e-05,10.112386729097368,4.075628894007121e-05,1,6.1221203016608445,0.2656,planet,-368.4378240265337,-718.0696474745996,368.4378240265337,-24.858701397128357,-21.858701397128357,-367.7179273494718,-709.1074538890887,367.7179273494718,-25.578598074190268,-24.578598074190268,-339.1286200936636,-670.7348399559401,339.1286200936636,-54.16790532999846,-48.16790532999846,393.29652542366205,12.417407652934074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.156,0.184,0.184,0.184,13:23:57.81,,,,,,9.912,0.022,0.022,0.022,211518462,,10.277,0.02,0.02,0.02,9.862,0.017,0.017,0.017,,,4.463,0.066,0.066,0.066,,,,k2,,,,,,08:28:43.01,,,,,,,,11.587,0.145,0.145,0.145,,,,,9.805,0.023,0.023,0.023,9.882,0.02,0.02,0.02,9.786,0.054,0.054,0.054,8.32,,,,,,,,11.873,0.05,0.05,0.05,11.199,0.03,0.03,0.03,11.377,0.02,0.02,0.02,,,,,,,,,,,,,,"2MASS J08284303+1323578,2MASS J08284303+1323578, TYC 808-1341-1, WISE J082843.00+132358.1",-0.166,0.2,0.2,0.2,27.530109,211.408997,"GO5007_LC, GO5029_LC, GO5104_LC, GO5106_LC, GO5060_LC, GO18003_LC, GO18047_LC, GO18049_LC, GO18065_LC","5,18",192.7,193.2,193.2,193.2,11.401,,,,0.962,0.09,0.09,0.09,STAR,0.946,1.007,1.007,1.007,1.118,0.3156,0.3156,0.3156,5629.0,134.0,134.0,134.0
EPIC211648030,1172.6284037729547,0.2236367666865938,mono,656.3553776527102,False,4.414917215447024,0.4529682700986623,-3.477063926301937,0.030897996780130152,2.3402699604968547,82.67499641018273,8.281741846874727,0.0,0.0011001833493615243,8.708738109580966e-05,12.633097189490078,0.00010048087382568489,1,10.949181744479374,0.2452,planet,-353.12569850344255,-686.3999374391245,353.12569850344255,-48.35252914871694,-45.35252914871694,-347.38364579058185,-666.9752481862988,347.38364579058185,-54.09458186157764,-53.09458186157764,-294.81283346432843,-581.6850831015527,294.81283346432843,-106.66539418783105,-100.66539418783105,401.4782276521595,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.809,0.03,0.03,0.03,15:12:26.15,,,,,,11.99,0.026,0.026,0.026,211648030,,12.413,0.022,0.022,0.022,11.877,0.021,0.021,0.021,,,4.613,0.03,0.03,0.03,,,,k2,,,,,,08:57:30.37,,,,,,,,14.006,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,14.369,0.02,0.02,0.02,13.527,0.02,0.02,0.02,13.733,0.01,0.01,0.01,,,,,,,,,,,,,,"2MASS J08573035+1512261,2MASS J08573035+1512261, WISE J085730.34+151226.2",-0.429,0.18,0.18,0.18,34.650051,212.69278,GO16052_LC,16.0,329.4,36.97,36.97,36.97,13.779,,,,0.74,0.052,0.052,0.052,STAR,0.697,0.044,0.044,0.044,2.158,0.2611,0.2611,0.2611,5081.0,151.0,151.0,151.0
