,BIC_poly,BIC_sin,BIC_trans,DeltaBIC,ID,Ntrans,P_min,asteroidDeltaBIC,b,cdpp,centroidDeltaBIC,depth,depth_err,flag,init_depth,init_tdur,instrumental_snr_ratio,llk_poly,llk_sin,llk_trans,log_lik_mono,log_per,log_ror,mission,model_success,obj_id,orbit_flag,period,period_err,poly_DeltaBIC,r_pl,ror,sin_DeltaBIC,snr,snr_r,stepLogLik,tcen,tdur,third_light,variableLogLik,vrel,rstar,rstar_negerr,rstar_poserr,rho,rho_negerr,rho_poserr,logg,logg_negerr,logg_poserr,Teff,Teff_negerr,Teff_poserr
00296737508_00,-187.9523,-641.3418,-1007.1103,-819.158,296737508.0,1.0,3.9823,19.2921,0.6072,0.0001,12.9678,0.0021,0.0001,planet,0.0021,0.2047,32.447,102.6191,326.2003,510.694,7252.246,2.9392,-3.1311,tess,False,00,mono,18.9007,,-819.158,6.0584,0.0437,-365.7685,32.447,14.501,-131.1392,1538.0036,0.2164,0.0,-196.8402,7.8452,1.27157,0.0728106,0.0617573,0.49582756229209457,0.109268,0.105862,4.23585,0.0882886,0.0686873,5699.6,132.518,133.0
00296737508_01,-526.9433,-525.9602,-533.1386,-6.1953,296737508.0,1.0,17.6721,,0.5059,0.0002,,0.0006,0.0001,lowSNR,0.0007,0.1189,,270.939,267.9217,273.1204,3293.4207,2.0553,-3.7628,tess,False,01,mono,7.8088,,-6.1953,3.221,0.0232,-7.1784,5.9452,4.0151,,1535.0391,0.1689,0.0,,10.5335,1.27157,0.0728106,0.0617573,0.49582756229209457,0.109268,0.105862,4.23585,0.0882886,0.0686873,5699.6,132.518,133.0
