 log g Teff   ZR   Vel  a(CHEOPS)
 log g Teff   ZR   Vel  b(CHEOPS)
 log g Teff   ZR   Vel  xi(CHEOPS)
 1.00  6250. -2.0  2.0   0.4786
 1.00  6250. -2.0  2.0   0.1461
 1.00  6250. -2.0  2.0   0.0029
 1.50  6250. -2.0  2.0   0.3752
 1.50  6250. -2.0  2.0   0.2311
 1.50  6250. -2.0  2.0   0.0084
 2.00  6250. -2.0  2.0   0.3457
 2.00  6250. -2.0  2.0   0.2596
 2.00  6250. -2.0  2.0   0.0085
 2.50  6250. -2.0  2.0   0.3404
 2.50  6250. -2.0  2.0   0.2641
 2.50  6250. -2.0  2.0   0.0082
 3.00  6250. -2.0  2.0   0.3302
 3.00  6250. -2.0  2.0   0.2732
 3.00  6250. -2.0  2.0   0.0078
 3.50  6250. -2.0  2.0   0.3192
 3.50  6250. -2.0  2.0   0.2841
 3.50  6250. -2.0  2.0   0.0072
 4.00  6250. -2.0  2.0   0.3073
 4.00  6250. -2.0  2.0   0.2940
 4.00  6250. -2.0  2.0   0.0070
 4.50  6250. -2.0  2.0   0.2952
 4.50  6250. -2.0  2.0   0.3035
 4.50  6250. -2.0  2.0   0.0073
 5.00  6250. -2.0  2.0   0.2755
 5.00  6250. -2.0  2.0   0.3175
 5.00  6250. -2.0  2.0   0.0088
 0.50  6500. -2.0  2.0   0.5156
 0.50  6500. -2.0  2.0   0.1253
 0.50  6500. -2.0  2.0   0.0005
 1.00  6500. -2.0  2.0   0.4858
 1.00  6500. -2.0  2.0   0.1475
 1.00  6500. -2.0  2.0   0.0010
 1.50  6500. -2.0  2.0   0.4493
 1.50  6500. -2.0  2.0   0.1668
 1.50  6500. -2.0  2.0   0.0039
 2.00  6500. -2.0  2.0   0.3415
 2.00  6500. -2.0  2.0   0.2530
 2.00  6500. -2.0  2.0   0.0108
 2.50  6500. -2.0  2.0   0.3187
 2.50  6500. -2.0  2.0   0.2778
 2.50  6500. -2.0  2.0   0.0090
 3.00  6500. -2.0  2.0   0.3160
 3.00  6500. -2.0  2.0   0.2799
 3.00  6500. -2.0  2.0   0.0082
 3.50  6500. -2.0  2.0   0.3121
 3.50  6500. -2.0  2.0   0.2834
 3.50  6500. -2.0  2.0   0.0074
 4.00  6500. -2.0  2.0   0.3050
 4.00  6500. -2.0  2.0   0.2888
 4.00  6500. -2.0  2.0   0.0070
 4.50  6500. -2.0  2.0   0.2943
 4.50  6500. -2.0  2.0   0.2986
 4.50  6500. -2.0  2.0   0.0067
 5.00  6500. -2.0  2.0   0.2793
 5.00  6500. -2.0  2.0   0.3095
 5.00  6500. -2.0  2.0   0.0075
 0.50  6750. -2.0  2.0   0.4893
 0.50  6750. -2.0  2.0   0.1501
 0.50  6750. -2.0  2.0   0.0006
 1.00  6750. -2.0  2.0   0.4813
 1.00  6750. -2.0  2.0   0.1550
 1.00  6750. -2.0  2.0   0.0007
 1.50  6750. -2.0  2.0   0.4506
 1.50  6750. -2.0  2.0   0.1757
 1.50  6750. -2.0  2.0   0.0014
 2.00  6750. -2.0  2.0   0.4022
 2.00  6750. -2.0  2.0   0.2034
 2.00  6750. -2.0  2.0   0.0050
 2.50  6750. -2.0  2.0   0.3164
 2.50  6750. -2.0  2.0   0.2708
 2.50  6750. -2.0  2.0   0.0108
 3.00  6750. -2.0  2.0   0.2980
 3.00  6750. -2.0  2.0   0.2919
 3.00  6750. -2.0  2.0   0.0084
 3.50  6750. -2.0  2.0   0.2985
 3.50  6750. -2.0  2.0   0.2898
 3.50  6750. -2.0  2.0   0.0077
 4.00  6750. -2.0  2.0   0.2956
 4.00  6750. -2.0  2.0   0.2914
 4.00  6750. -2.0  2.0   0.0071
 4.50  6750. -2.0  2.0   0.2903
 4.50  6750. -2.0  2.0   0.2952
 4.50  6750. -2.0  2.0   0.0066
 5.00  6750. -2.0  2.0   0.2784
 5.00  6750. -2.0  2.0   0.3050
 5.00  6750. -2.0  2.0   0.0069
 0.50  7000. -2.0  2.0   0.4493
 0.50  7000. -2.0  2.0   0.1857
 0.50  7000. -2.0  2.0   0.0010
 1.00  7000. -2.0  2.0   0.4535
 1.00  7000. -2.0  2.0   0.1793
 1.00  7000. -2.0  2.0   0.0010
 1.50  7000. -2.0  2.0   0.4467
 1.50  7000. -2.0  2.0   0.1815
 1.50  7000. -2.0  2.0   0.0010
 2.00  7000. -2.0  2.0   0.4155
 2.00  7000. -2.0  2.0   0.2006
 2.00  7000. -2.0  2.0   0.0019
 2.50  7000. -2.0  2.0   0.3677
 2.50  7000. -2.0  2.0   0.2269
 2.50  7000. -2.0  2.0   0.0058
 3.00  7000. -2.0  2.0   0.2874
 3.00  7000. -2.0  2.0   0.2933
 3.00  7000. -2.0  2.0   0.0099
 3.50  7000. -2.0  2.0   0.2816
 3.50  7000. -2.0  2.0   0.3002
 3.50  7000. -2.0  2.0   0.0081
 4.00  7000. -2.0  2.0   0.2805
 4.00  7000. -2.0  2.0   0.2999
 4.00  7000. -2.0  2.0   0.0076
 4.50  7000. -2.0  2.0   0.2804
 4.50  7000. -2.0  2.0   0.2995
 4.50  7000. -2.0  2.0   0.0067
 5.00  7000. -2.0  2.0   0.2739
 5.00  7000. -2.0  2.0   0.3036
 5.00  7000. -2.0  2.0   0.0066
 0.50  7250. -2.0  2.0   0.4062
 0.50  7250. -2.0  2.0   0.2203
 0.50  7250. -2.0  2.0   0.0016
 1.00  7250. -2.0  2.0   0.4082
 1.00  7250. -2.0  2.0   0.2175
 1.00  7250. -2.0  2.0   0.0017
 1.50  7250. -2.0  2.0   0.4151
 1.50  7250. -2.0  2.0   0.2074
 1.50  7250. -2.0  2.0   0.0016
 2.00  7250. -2.0  2.0   0.4104
 2.00  7250. -2.0  2.0   0.2070
 2.00  7250. -2.0  2.0   0.0014
 2.50  7250. -2.0  2.0   0.3771
 2.50  7250. -2.0  2.0   0.2272
 2.50  7250. -2.0  2.0   0.0025
 3.00  7250. -2.0  2.0   0.3222
 3.00  7250. -2.0  2.0   0.2597
 3.00  7250. -2.0  2.0   0.0074
 3.50  7250. -2.0  2.0   0.2622
 3.50  7250. -2.0  2.0   0.3097
 3.50  7250. -2.0  2.0   0.0100
 4.00  7250. -2.0  2.0   0.2621
 4.00  7250. -2.0  2.0   0.3113
 4.00  7250. -2.0  2.0   0.0081
 4.50  7250. -2.0  2.0   0.2642
 4.50  7250. -2.0  2.0   0.3088
 4.50  7250. -2.0  2.0   0.0071
 5.00  7250. -2.0  2.0   0.2623
 5.00  7250. -2.0  2.0   0.3092
 5.00  7250. -2.0  2.0   0.0066
 0.50  7500. -2.0  2.0   0.3715
 0.50  7500. -2.0  2.0   0.2423
 0.50  7500. -2.0  2.0   0.0027
 1.00  7500. -2.0  2.0   0.3706
 1.00  7500. -2.0  2.0   0.2446
 1.00  7500. -2.0  2.0   0.0028
 1.50  7500. -2.0  2.0   0.3745
 1.50  7500. -2.0  2.0   0.2387
 1.50  7500. -2.0  2.0   0.0027
 2.00  7500. -2.0  2.0   0.3839
 2.00  7500. -2.0  2.0   0.2258
 2.00  7500. -2.0  2.0   0.0023
 2.50  7500. -2.0  2.0   0.3793
 2.50  7500. -2.0  2.0   0.2259
 2.50  7500. -2.0  2.0   0.0019
 3.00  7500. -2.0  2.0   0.3421
 3.00  7500. -2.0  2.0   0.2493
 3.00  7500. -2.0  2.0   0.0036
 3.50  7500. -2.0  2.0   0.2780
 3.50  7500. -2.0  2.0   0.2928
 3.50  7500. -2.0  2.0   0.0087
 4.00  7500. -2.0  2.0   0.2474
 4.00  7500. -2.0  2.0   0.3184
 4.00  7500. -2.0  2.0   0.0091
 4.50  7500. -2.0  2.0   0.2488
 4.50  7500. -2.0  2.0   0.3169
 4.50  7500. -2.0  2.0   0.0079
 5.00  7500. -2.0  2.0   0.2493
 5.00  7500. -2.0  2.0   0.3153
 5.00  7500. -2.0  2.0   0.0072
 1.00  7750. -2.0  2.0   0.3403
 1.00  7750. -2.0  2.0   0.2622
 1.00  7750. -2.0  2.0   0.0042
 1.50  7750. -2.0  2.0   0.3383
 1.50  7750. -2.0  2.0   0.2628
 1.50  7750. -2.0  2.0   0.0043
 2.00  7750. -2.0  2.0   0.3450
 2.00  7750. -2.0  2.0   0.2537
 2.00  7750. -2.0  2.0   0.0039
 2.50  7750. -2.0  2.0   0.3554
 2.50  7750. -2.0  2.0   0.2403
 2.50  7750. -2.0  2.0   0.0031
 3.00  7750. -2.0  2.0   0.3472
 3.00  7750. -2.0  2.0   0.2446
 3.00  7750. -2.0  2.0   0.0027
 3.50  7750. -2.0  2.0   0.3026
 3.50  7750. -2.0  2.0   0.2743
 3.50  7750. -2.0  2.0   0.0052
 4.00  7750. -2.0  2.0   0.2396
 4.00  7750. -2.0  2.0   0.3190
 4.00  7750. -2.0  2.0   0.0103
 4.50  7750. -2.0  2.0   0.2346
 4.50  7750. -2.0  2.0   0.3239
 4.50  7750. -2.0  2.0   0.0085
 5.00  7750. -2.0  2.0   0.2352
 5.00  7750. -2.0  2.0   0.3216
 5.00  7750. -2.0  2.0   0.0080
 1.00  8000. -2.0  2.0   0.3189
 1.00  8000. -2.0  2.0   0.2707
 1.00  8000. -2.0  2.0   0.0057
 1.50  8000. -2.0  2.0   0.3091
 1.50  8000. -2.0  2.0   0.2787
 1.50  8000. -2.0  2.0   0.0060
 2.00  8000. -2.0  2.0   0.3114
 2.00  8000. -2.0  2.0   0.2744
 2.00  8000. -2.0  2.0   0.0057
 2.50  8000. -2.0  2.0   0.3200
 2.50  8000. -2.0  2.0   0.2639
 2.50  8000. -2.0  2.0   0.0049
 3.00  8000. -2.0  2.0   0.3315
 3.00  8000. -2.0  2.0   0.2504
 3.00  8000. -2.0  2.0   0.0038
 3.50  8000. -2.0  2.0   0.3157
 3.50  8000. -2.0  2.0   0.2627
 3.50  8000. -2.0  2.0   0.0035
 4.00  8000. -2.0  2.0   0.2624
 4.00  8000. -2.0  2.0   0.2999
 4.00  8000. -2.0  2.0   0.0072
 4.50  8000. -2.0  2.0   0.2154
 4.50  8000. -2.0  2.0   0.3315
 4.50  8000. -2.0  2.0   0.0112
 5.00  8000. -2.0  2.0   0.2183
 5.00  8000. -2.0  2.0   0.3309
 5.00  8000. -2.0  2.0   0.0090
 1.50  8250. -2.0  2.0   0.2891
 1.50  8250. -2.0  2.0   0.2862
 1.50  8250. -2.0  2.0   0.0075
 2.00  8250. -2.0  2.0   0.2837
 2.00  8250. -2.0  2.0   0.2885
 2.00  8250. -2.0  2.0   0.0076
 2.50  8250. -2.0  2.0   0.2881
 2.50  8250. -2.0  2.0   0.2824
 2.50  8250. -2.0  2.0   0.0069
 3.00  8250. -2.0  2.0   0.2987
 3.00  8250. -2.0  2.0   0.2707
 3.00  8250. -2.0  2.0   0.0057
 3.50  8250. -2.0  2.0   0.3099
 3.50  8250. -2.0  2.0   0.2586
 3.50  8250. -2.0  2.0   0.0044
 4.00  8250. -2.0  2.0   0.2835
 4.00  8250. -2.0  2.0   0.2817
 4.00  8250. -2.0  2.0   0.0045
 4.50  8250. -2.0  2.0   0.2254
 4.50  8250. -2.0  2.0   0.3231
 4.50  8250. -2.0  2.0   0.0092
 5.00  8250. -2.0  2.0   0.1974
 5.00  8250. -2.0  2.0   0.3397
 5.00  8250. -2.0  2.0   0.0120
 1.50  8500. -2.0  2.0   0.2771
 1.50  8500. -2.0  2.0   0.2872
 1.50  8500. -2.0  2.0   0.0085
 2.00  8500. -2.0  2.0   0.2652
 2.00  8500. -2.0  2.0   0.2941
 2.00  8500. -2.0  2.0   0.0091
 2.50  8500. -2.0  2.0   0.2647
 2.50  8500. -2.0  2.0   0.2921
 2.50  8500. -2.0  2.0   0.0088
 3.00  8500. -2.0  2.0   0.2713
 3.00  8500. -2.0  2.0   0.2849
 3.00  8500. -2.0  2.0   0.0076
 3.50  8500. -2.0  2.0   0.2820
 3.50  8500. -2.0  2.0   0.2742
 3.50  8500. -2.0  2.0   0.0063
 4.00  8500. -2.0  2.0   0.2888
 4.00  8500. -2.0  2.0   0.2675
 4.00  8500. -2.0  2.0   0.0050
 4.50  8500. -2.0  2.0   0.2485
 4.50  8500. -2.0  2.0   0.3023
 4.50  8500. -2.0  2.0   0.0061
 5.00  8500. -2.0  2.0   0.1979
 5.00  8500. -2.0  2.0   0.3389
 5.00  8500. -2.0  2.0   0.0104
 2.00  8750. -2.0  2.0   0.2530
 2.00  8750. -2.0  2.0   0.2948
 2.00  8750. -2.0  2.0   0.0100
 2.50  8750. -2.0  2.0   0.2477
 2.50  8750. -2.0  2.0   0.2960
 2.50  8750. -2.0  2.0   0.0101
 3.00  8750. -2.0  2.0   0.2498
 3.00  8750. -2.0  2.0   0.2930
 3.00  8750. -2.0  2.0   0.0093
 3.50  8750. -2.0  2.0   0.2580
 3.50  8750. -2.0  2.0   0.2855
 3.50  8750. -2.0  2.0   0.0081
 4.00  8750. -2.0  2.0   0.2678
 4.00  8750. -2.0  2.0   0.2761
 4.00  8750. -2.0  2.0   0.0067
 4.50  8750. -2.0  2.0   0.2637
 4.50  8750. -2.0  2.0   0.2809
 4.50  8750. -2.0  2.0   0.0056
 5.00  8750. -2.0  2.0   0.2139
 5.00  8750. -2.0  2.0   0.3229
 5.00  8750. -2.0  2.0   0.0081
 2.00  9000. -2.0  2.0   0.2481
 2.00  9000. -2.0  2.0   0.2909
 2.00  9000. -2.0  2.0   0.0107
 2.50  9000. -2.0  2.0   0.2386
 2.50  9000. -2.0  2.0   0.2938
 2.50  9000. -2.0  2.0   0.0110
 3.00  9000. -2.0  2.0   0.2380
 3.00  9000. -2.0  2.0   0.2921
 3.00  9000. -2.0  2.0   0.0106
 3.50  9000. -2.0  2.0   0.2422
 3.50  9000. -2.0  2.0   0.2884
 3.50  9000. -2.0  2.0   0.0098
 4.00  9000. -2.0  2.0   0.2502
 4.00  9000. -2.0  2.0   0.2817
 4.00  9000. -2.0  2.0   0.0086
 4.50  9000. -2.0  2.0   0.2604
 4.50  9000. -2.0  2.0   0.2720
 4.50  9000. -2.0  2.0   0.0072
 5.00  9000. -2.0  2.0   0.2716
 5.00  9000. -2.0  2.0   0.2600
 5.00  9000. -2.0  2.0   0.0061
 2.00  9250. -2.0  2.0   0.2417
 2.00  9250. -2.0  2.0   0.2903
 2.00  9250. -2.0  2.0   0.0110
 2.50  9250. -2.0  2.0   0.2298
 2.50  9250. -2.0  2.0   0.2932
 2.50  9250. -2.0  2.0   0.0115
 3.00  9250. -2.0  2.0   0.2260
 3.00  9250. -2.0  2.0   0.2929
 3.00  9250. -2.0  2.0   0.0113
 3.50  9250. -2.0  2.0   0.2277
 3.50  9250. -2.0  2.0   0.2907
 3.50  9250. -2.0  2.0   0.0108
 4.00  9250. -2.0  2.0   0.2328
 4.00  9250. -2.0  2.0   0.2870
 4.00  9250. -2.0  2.0   0.0100
 4.50  9250. -2.0  2.0   0.2404
 4.50  9250. -2.0  2.0   0.2809
 4.50  9250. -2.0  2.0   0.0088
 5.00  9250. -2.0  2.0   0.2498
 5.00  9250. -2.0  2.0   0.2713
 5.00  9250. -2.0  2.0   0.0076
 2.00  9500. -2.0  2.0   0.2364
 2.00  9500. -2.0  2.0   0.2900
 2.00  9500. -2.0  2.0   0.0113
 2.50  9500. -2.0  2.0   0.2228
 2.50  9500. -2.0  2.0   0.2926
 2.50  9500. -2.0  2.0   0.0118
 3.00  9500. -2.0  2.0   0.2173
 3.00  9500. -2.0  2.0   0.2925
 3.00  9500. -2.0  2.0   0.0118
 3.50  9500. -2.0  2.0   0.2168
 3.50  9500. -2.0  2.0   0.2911
 3.50  9500. -2.0  2.0   0.0114
 4.00  9500. -2.0  2.0   0.2195
 4.00  9500. -2.0  2.0   0.2892
 4.00  9500. -2.0  2.0   0.0109
 4.50  9500. -2.0  2.0   0.2243
 4.50  9500. -2.0  2.0   0.2860
 4.50  9500. -2.0  2.0   0.0101
 5.00  9500. -2.0  2.0   0.2315
 5.00  9500. -2.0  2.0   0.2794
 5.00  9500. -2.0  2.0   0.0091
 2.00  9750. -2.0  2.0   0.2316
 2.00  9750. -2.0  2.0   0.2903
 2.00  9750. -2.0  2.0   0.0115
 2.50  9750. -2.0  2.0   0.2168
 2.50  9750. -2.0  2.0   0.2923
 2.50  9750. -2.0  2.0   0.0121
 3.00  9750. -2.0  2.0   0.2100
 3.00  9750. -2.0  2.0   0.2920
 3.00  9750. -2.0  2.0   0.0121
 3.50  9750. -2.0  2.0   0.2079
 3.50  9750. -2.0  2.0   0.2912
 3.50  9750. -2.0  2.0   0.0119
 4.00  9750. -2.0  2.0   0.2089
 4.00  9750. -2.0  2.0   0.2899
 4.00  9750. -2.0  2.0   0.0116
 4.50  9750. -2.0  2.0   0.2115
 4.50  9750. -2.0  2.0   0.2883
 4.50  9750. -2.0  2.0   0.0111
 5.00  9750. -2.0  2.0   0.2164
 5.00  9750. -2.0  2.0   0.2845
 5.00  9750. -2.0  2.0   0.0103
 2.00 10000. -2.0  2.0   0.2267
 2.00 10000. -2.0  2.0   0.2911
 2.00 10000. -2.0  2.0   0.0118
 2.50 10000. -2.0  2.0   0.2112
 2.50 10000. -2.0  2.0   0.2923
 2.50 10000. -2.0  2.0   0.0124
 3.00 10000. -2.0  2.0   0.2039
 3.00 10000. -2.0  2.0   0.2914
 3.00 10000. -2.0  2.0   0.0124
 3.50 10000. -2.0  2.0   0.2008
 3.50 10000. -2.0  2.0   0.2907
 3.50 10000. -2.0  2.0   0.0122
 4.00 10000. -2.0  2.0   0.2007
 4.00 10000. -2.0  2.0   0.2897
 4.00 10000. -2.0  2.0   0.0120
 4.50 10000. -2.0  2.0   0.2016
 4.50 10000. -2.0  2.0   0.2891
 4.50 10000. -2.0  2.0   0.0117
 5.00 10000. -2.0  2.0   0.2042
 5.00 10000. -2.0  2.0   0.2873
 5.00 10000. -2.0  2.0   0.0112
 2.00 10500. -2.0  2.0   0.2186
 2.00 10500. -2.0  2.0   0.2924
 2.00 10500. -2.0  2.0   0.0125
 2.50 10500. -2.0  2.0   0.2012
 2.50 10500. -2.0  2.0   0.2925
 2.50 10500. -2.0  2.0   0.0129
 3.00 10500. -2.0  2.0   0.1936
 3.00 10500. -2.0  2.0   0.2902
 3.00 10500. -2.0  2.0   0.0129
 3.50 10500. -2.0  2.0   0.1897
 3.50 10500. -2.0  2.0   0.2889
 3.50 10500. -2.0  2.0   0.0127
 4.00 10500. -2.0  2.0   0.1880
 4.00 10500. -2.0  2.0   0.2885
 4.00 10500. -2.0  2.0   0.0126
 4.50 10500. -2.0  2.0   0.1876
 4.50 10500. -2.0  2.0   0.2882
 4.50 10500. -2.0  2.0   0.0125
 5.00 10500. -2.0  2.0   0.1872
 5.00 10500. -2.0  2.0   0.2882
 5.00 10500. -2.0  2.0   0.0124
 2.50 11000. -2.0  2.0   0.1929
 2.50 11000. -2.0  2.0   0.2924
 2.50 11000. -2.0  2.0   0.0135
 3.00 11000. -2.0  2.0   0.1848
 3.00 11000. -2.0  2.0   0.2888
 3.00 11000. -2.0  2.0   0.0132
 3.50 11000. -2.0  2.0   0.1805
 3.50 11000. -2.0  2.0   0.2868
 3.50 11000. -2.0  2.0   0.0130
 4.00 11000. -2.0  2.0   0.1784
 4.00 11000. -2.0  2.0   0.2861
 4.00 11000. -2.0  2.0   0.0129
 4.50 11000. -2.0  2.0   0.1768
 4.50 11000. -2.0  2.0   0.2867
 4.50 11000. -2.0  2.0   0.0129
 5.00 11000. -2.0  2.0   0.1753
 5.00 11000. -2.0  2.0   0.2872
 5.00 11000. -2.0  2.0   0.0130
 2.50 11500. -2.0  2.0   0.1857
 2.50 11500. -2.0  2.0   0.2922
 2.50 11500. -2.0  2.0   0.0141
 3.00 11500. -2.0  2.0   0.1773
 3.00 11500. -2.0  2.0   0.2871
 3.00 11500. -2.0  2.0   0.0136
 3.50 11500. -2.0  2.0   0.1727
 3.50 11500. -2.0  2.0   0.2845
 3.50 11500. -2.0  2.0   0.0132
 4.00 11500. -2.0  2.0   0.1703
 4.00 11500. -2.0  2.0   0.2835
 4.00 11500. -2.0  2.0   0.0130
 4.50 11500. -2.0  2.0   0.1683
 4.50 11500. -2.0  2.0   0.2842
 4.50 11500. -2.0  2.0   0.0131
 5.00 11500. -2.0  2.0   0.1666
 5.00 11500. -2.0  2.0   0.2850
 5.00 11500. -2.0  2.0   0.0133
 2.50 12000. -2.0  2.0   0.1797
 2.50 12000. -2.0  2.0   0.2920
 2.50 12000. -2.0  2.0   0.0147
 3.00 12000. -2.0  2.0   0.1703
 3.00 12000. -2.0  2.0   0.2857
 3.00 12000. -2.0  2.0   0.0140
 3.50 12000. -2.0  2.0   0.1659
 3.50 12000. -2.0  2.0   0.2818
 3.50 12000. -2.0  2.0   0.0134
 4.00 12000. -2.0  2.0   0.1634
 4.00 12000. -2.0  2.0   0.2804
 4.00 12000. -2.0  2.0   0.0131
 4.50 12000. -2.0  2.0   0.1615
 4.50 12000. -2.0  2.0   0.2808
 4.50 12000. -2.0  2.0   0.0131
 5.00 12000. -2.0  2.0   0.1597
 5.00 12000. -2.0  2.0   0.2818
 5.00 12000. -2.0  2.0   0.0134
 2.50 12500. -2.0  2.0   0.1748
 2.50 12500. -2.0  2.0   0.2918
 2.50 12500. -2.0  2.0   0.0153
 3.00 12500. -2.0  2.0   0.1647
 3.00 12500. -2.0  2.0   0.2841
 3.00 12500. -2.0  2.0   0.0143
 3.50 12500. -2.0  2.0   0.1599
 3.50 12500. -2.0  2.0   0.2792
 3.50 12500. -2.0  2.0   0.0135
 4.00 12500. -2.0  2.0   0.1576
 4.00 12500. -2.0  2.0   0.2769
 4.00 12500. -2.0  2.0   0.0131
 4.50 12500. -2.0  2.0   0.1556
 4.50 12500. -2.0  2.0   0.2771
 4.50 12500. -2.0  2.0   0.0130
 5.00 12500. -2.0  2.0   0.1536
 5.00 12500. -2.0  2.0   0.2783
 5.00 12500. -2.0  2.0   0.0133
 2.50 13000. -2.0  2.0   0.1706
 2.50 13000. -2.0  2.0   0.2919
 2.50 13000. -2.0  2.0   0.0158
 3.00 13000. -2.0  2.0   0.1598
 3.00 13000. -2.0  2.0   0.2825
 3.00 13000. -2.0  2.0   0.0147
 3.50 13000. -2.0  2.0   0.1549
 3.50 13000. -2.0  2.0   0.2764
 3.50 13000. -2.0  2.0   0.0136
 4.00 13000. -2.0  2.0   0.1525
 4.00 13000. -2.0  2.0   0.2734
 4.00 13000. -2.0  2.0   0.0131
 4.50 13000. -2.0  2.0   0.1505
 4.50 13000. -2.0  2.0   0.2732
 4.50 13000. -2.0  2.0   0.0129
 5.00 13000. -2.0  2.0   0.1483
 5.00 13000. -2.0  2.0   0.2746
 5.00 13000. -2.0  2.0   0.0131
 2.00 14000. -2.0  2.0   0.1963
 2.00 14000. -2.0  2.0   0.3015
 2.00 14000. -2.0  2.0   0.0157
 2.50 14000. -2.0  2.0   0.1635
 2.50 14000. -2.0  2.0   0.2936
 2.50 14000. -2.0  2.0   0.0168
 3.00 14000. -2.0  2.0   0.1519
 3.00 14000. -2.0  2.0   0.2804
 3.00 14000. -2.0  2.0   0.0154
 3.50 14000. -2.0  2.0   0.1464
 3.50 14000. -2.0  2.0   0.2717
 3.50 14000. -2.0  2.0   0.0138
 4.00 14000. -2.0  2.0   0.1439
 4.00 14000. -2.0  2.0   0.2668
 4.00 14000. -2.0  2.0   0.0130
 4.50 14000. -2.0  2.0   0.1420
 4.50 14000. -2.0  2.0   0.2655
 4.50 14000. -2.0  2.0   0.0126
 5.00 14000. -2.0  2.0   0.1398
 5.00 14000. -2.0  2.0   0.2664
 5.00 14000. -2.0  2.0   0.0127
 2.50 15000. -2.0  2.0   0.1585
 2.50 15000. -2.0  2.0   0.2958
 2.50 15000. -2.0  2.0   0.0178
 3.00 15000. -2.0  2.0   0.1451
 3.00 15000. -2.0  2.0   0.2798
 3.00 15000. -2.0  2.0   0.0161
 3.50 15000. -2.0  2.0   0.1398
 3.50 15000. -2.0  2.0   0.2678
 3.50 15000. -2.0  2.0   0.0142
 4.00 15000. -2.0  2.0   0.1370
 4.00 15000. -2.0  2.0   0.2612
 4.00 15000. -2.0  2.0   0.0130
 4.50 15000. -2.0  2.0   0.1352
 4.50 15000. -2.0  2.0   0.2585
 4.50 15000. -2.0  2.0   0.0124
 5.00 15000. -2.0  2.0   0.1329
 5.00 15000. -2.0  2.0   0.2587
 5.00 15000. -2.0  2.0   0.0124
 2.50 16000. -2.0  2.0   0.1536
 2.50 16000. -2.0  2.0   0.2999
 2.50 16000. -2.0  2.0   0.0188
 3.00 16000. -2.0  2.0   0.1390
 3.00 16000. -2.0  2.0   0.2805
 3.00 16000. -2.0  2.0   0.0170
 3.50 16000. -2.0  2.0   0.1337
 3.50 16000. -2.0  2.0   0.2657
 3.50 16000. -2.0  2.0   0.0146
 4.00 16000. -2.0  2.0   0.1316
 4.00 16000. -2.0  2.0   0.2564
 4.00 16000. -2.0  2.0   0.0130
 4.50 16000. -2.0  2.0   0.1296
 4.50 16000. -2.0  2.0   0.2525
 4.50 16000. -2.0  2.0   0.0122
 5.00 16000. -2.0  2.0   0.1275
 5.00 16000. -2.0  2.0   0.2517
 5.00 16000. -2.0  2.0   0.0121
 2.50 17000. -2.0  2.0   0.1505
 2.50 17000. -2.0  2.0   0.3041
 2.50 17000. -2.0  2.0   0.0198
 3.00 17000. -2.0  2.0   0.1328
 3.00 17000. -2.0  2.0   0.2828
 3.00 17000. -2.0  2.0   0.0180
 3.50 17000. -2.0  2.0   0.1278
 3.50 17000. -2.0  2.0   0.2648
 3.50 17000. -2.0  2.0   0.0151
 4.00 17000. -2.0  2.0   0.1260
 4.00 17000. -2.0  2.0   0.2534
 4.00 17000. -2.0  2.0   0.0132
 4.50 17000. -2.0  2.0   0.1246
 4.50 17000. -2.0  2.0   0.2477
 4.50 17000. -2.0  2.0   0.0122
 5.00 17000. -2.0  2.0   0.1225
 5.00 17000. -2.0  2.0   0.2462
 5.00 17000. -2.0  2.0   0.0118
 2.50 18000. -2.0  2.0   0.1497
 2.50 18000. -2.0  2.0   0.3081
 2.50 18000. -2.0  2.0   0.0209
 3.00 18000. -2.0  2.0   0.1272
 3.00 18000. -2.0  2.0   0.2857
 3.00 18000. -2.0  2.0   0.0194
 3.50 18000. -2.0  2.0   0.1217
 3.50 18000. -2.0  2.0   0.2652
 3.50 18000. -2.0  2.0   0.0160
 4.00 18000. -2.0  2.0   0.1203
 4.00 18000. -2.0  2.0   0.2518
 4.00 18000. -2.0  2.0   0.0136
 4.50 18000. -2.0  2.0   0.1194
 4.50 18000. -2.0  2.0   0.2445
 4.50 18000. -2.0  2.0   0.0123
 5.00 18000. -2.0  2.0   0.1179
 5.00 18000. -2.0  2.0   0.2417
 5.00 18000. -2.0  2.0   0.0118
 2.50 19000. -2.0  2.0   0.1505
 2.50 19000. -2.0  2.0   0.3130
 2.50 19000. -2.0  2.0   0.0216
 3.00 19000. -2.0  2.0   0.1222
 3.00 19000. -2.0  2.0   0.2892
 3.00 19000. -2.0  2.0   0.0208
 3.50 19000. -2.0  2.0   0.1160
 3.50 19000. -2.0  2.0   0.2658
 3.50 19000. -2.0  2.0   0.0172
 4.00 19000. -2.0  2.0   0.1146
 4.00 19000. -2.0  2.0   0.2508
 4.00 19000. -2.0  2.0   0.0143
 4.50 19000. -2.0  2.0   0.1142
 4.50 19000. -2.0  2.0   0.2423
 4.50 19000. -2.0  2.0   0.0126
 5.00 19000. -2.0  2.0   0.1132
 5.00 19000. -2.0  2.0   0.2385
 5.00 19000. -2.0  2.0   0.0120
 3.00 20000. -2.0  2.0   0.1179
 3.00 20000. -2.0  2.0   0.2937
 3.00 20000. -2.0  2.0   0.0224
 3.50 20000. -2.0  2.0   0.1102
 3.50 20000. -2.0  2.0   0.2677
