 log g Teff   ZR   Vel  a(CHEOPS)
 log g Teff   ZR   Vel  b(CHEOPS)
 log g Teff   ZR   Vel  xi(CHEOPS)
 3.50  4750. -5.0  2.0   0.3412
 3.50  4750. -5.0  2.0   0.0159
 4.00  4750. -5.0  2.0   0.1864
 4.00  4750. -5.0  2.0   0.3932
 4.00  4750. -5.0  2.0   0.0352
 4.50  4750. -5.0  2.0   0.1089
 4.50  4750. -5.0  2.0   0.4254
 4.50  4750. -5.0  2.0   0.0580
 0.00  5000. -5.0  2.0   0.5367
 0.00  5000. -5.0  2.0   0.0942
 0.00  5000. -5.0  2.0   0.0018
 0.50  5000. -5.0  2.0   0.5121
 0.50  5000. -5.0  2.0   0.1187
 0.50  5000. -5.0  2.0   0.0021
 1.00  5000. -5.0  2.0   0.4775
 1.00  5000. -5.0  2.0   0.1528
 1.00  5000. -5.0  2.0   0.0030
 1.50  5000. -5.0  2.0   0.4377
 1.50  5000. -5.0  2.0   0.1919
 1.50  5000. -5.0  2.0   0.0046
 2.00  5000. -5.0  2.0   0.3941
 2.00  5000. -5.0  2.0   0.2349
 2.00  5000. -5.0  2.0   0.0067
 2.50  5000. -5.0  2.0   0.3526
 2.50  5000. -5.0  2.0   0.2756
 2.50  5000. -5.0  2.0   0.0088
 3.00  5000. -5.0  2.0   0.3167
 3.00  5000. -5.0  2.0   0.3088
 3.00  5000. -5.0  2.0   0.0115
 3.50  5000. -5.0  2.0   0.2905
 3.50  5000. -5.0  2.0   0.3318
 3.50  5000. -5.0  2.0   0.0133
 4.00  5000. -5.0  2.0   0.2563
 4.00  5000. -5.0  2.0   0.3545
 4.00  5000. -5.0  2.0   0.0164
 4.50  5000. -5.0  2.0   0.1972
 4.50  5000. -5.0  2.0   0.3893
 4.50  5000. -5.0  2.0   0.0284
 5.00  5000. -5.0  2.0   0.1496
 5.00  5000. -5.0  2.0   0.4040
 5.00  5000. -5.0  2.0   0.0351
 0.00  5250. -5.0  2.0   0.5062
