input_id,input_ra,input_dec,dist,obsid,obsdate,lmjd,mjd,planid,spid,fiberid,class,subclass,z,ra,dec,teff,teff_err,logg,logg_err,feh,feh_err,rv,rv_err
37,99.788328,16.826265,0.0671205189379491,43805197,2012-02-23,55981,55980,GAC_100N17_V4,5,197,STAR,A2V,0.00015195,99.788338,16.826249,8840,500,4.0,1.0,0.0,2.0,,
38,173.807135,-4.014619,0.00602839335612716,499910021,2016-12-23,57746,57745,KP114249S033242V01,10,21,STAR,G3,-0.0001350601,173.80713333,-4.01461917,5568.02,23.88,4.405,0.039,-0.075,0.021,-40.49,4.29
39,139.65853,-2.551716,0.00360000010661214,195713226,2013-12-20,56647,56646,VB138S03V3,13,226,STAR,F9,0.0000031689,139.65853,-2.551715,5728.5,21.98,4.543,0.03,0.058,0.018,0.95,4.43
40,150.019077,3.966596,0.0433490251750332,296415061,2015-01-11,57034,57033,HD100408N031203V01,15,61,STAR,G4,-0.0000118749,150.019078,3.966608,5738.88,20.22,4.567,0.03,0.004,0.016,-3.56,4.12
41,56.806371,5.439944,0.0657619043763915,302605228,2015-01-23,57046,57045,EG035008N063714V01,5,228,STAR,F3,0.0000366587,56.80636444,5.43992694,6705.66,13.58,4.192,0.019,0.05,0.011,10.99,5.56
42,83.408204,-0.261993,0.0427858380238526,268307236,2014-11-18,56980,56979,HD052954N014721V01,7,236,STAR,A6IV,0.00010676,83.40820806,-0.26200417,8000,500,3.0,1.0,0.0,2.0,,
43,164.853935,-1.86734,0.0129752128872679,426516058,2016-02-19,57438,57437,HD110236S033045V01,16,58,STAR,M1,0.00010175,164.853938,-1.867342,3700,400,4.85,1.0,0.0,2.0,,
44,159.555072,-5.474966,0.0152387072062249,432907011,2016-02-26,57445,57444,HD103450S035358V01,7,11,STAR,G2,0.0000728504,159.555075,-5.474969,5848.52,12.87,3.882,0.018,0.104,0.01,21.84,3.71
45,150.607484,4.118522,0.0468177587609725,433507168,2016-02-28,57447,57446,HD095844N060652V01,7,168,STAR,G9,0.0000229159,150.607471,4.118521,5178.62,60.83,4.66,0.1,0.145,0.058,6.87,4.06
46,132.461136,-2.844944,0.0160838172146742,125412121,2013-02-21,56345,56344,GAC130S04V2,12,121,STAR,F4,0.0001316244,132.46114,-2.844946,6516.68,20.12,4.295,0.033,-0.146,0.018,39.46,6
47,116.915461,14.795555,0.16144523870738,135608245,2013-03-17,56369,56368,GAC115N15V1,8,245,STAR,G2,0.0001664151,116.91549,14.79559,5944.34,13.36,4.184,0.022,-0.099,0.012,49.89,4.55
48,139.65853,-2.551716,0.00360000010661214,195513226,2013-12-20,56647,56646,VB138S03V1,13,226,STAR,F9,-0.0000035691,139.65853,-2.551715,5735.91,22.2,4.55,0.031,0.065,0.018,-1.07,4.53
49,161.572322,-3.619992,0.0419606964305105,205202064,2014-01-09,56667,56666,HD104840S015732V,2,64,STAR,G7,-0.0000478664,161.572328,-3.620002,5202.05,42.86,4.583,0.071,-0.696,0.041,-14.35,5.12
50,116.915461,14.795555,0.16144523870738,229008245,2014-03-24,56741,56740,GAC115N15V1,8,245,STAR,G2,0.0002598464,116.91549,14.79559,5945.4,11.98,4.196,0.017,-0.108,0.01,77.9,4.12
202068800,,,,,,,,,,,,,,,,4777,250,4.5,0.75,-1.0,1.0,,
202089948,,,,,,,,,,,,,,,,6285,250,3.6,0.75,-0.5,1.0,,
202072507,,,,,,,,,,,,,,,,7688,250,3.7,0.75,0.5,1.0,,
202071690,,,,,,,,,,,,,,,,7930,250,3.8,0.75,-2.5,1.0,,
202088428,,,,,,,,,,,,,,,,4991,250,4.9,0.75,-0.5,1.0,,
201781021,,,,,,,,,,,,,,,,5542,250,5.0,0.75,-0.5,1.0,,
201631267,,,,,,,,,,,,,,,,4417,250,2.3,0.75,-0.5,1.0,,
201720401,,,,,,,,,,,,,,,,5226,250,5.0,0.75,-0.5,1.0,,
201569329,,,,,,,,,,,,,,,,5864,250,4.5,0.75,-0.5,2.0,,
203758400,,,,,,,,,,,,,,,,6269,250,5.0,0.75,-0.5,1.0,,
203311200,,,,,,,,,,,,,,,,6832,250,4.7,0.75,-0.5,1.0,,
203444902,,,,,,,,,,,,,,,,5146,400,0.5,1.5,-2.5,2.0,,
204634789,,,,,,,,,,,,,,,,5250,250,3.5,0.75,-1.25,1.0,,
205275507,,,,,,,,,,,,,,,,6288,250,2.4,0.75,-1.5,1.0,,
202875475,,,,,,,,,,,,,,,,5117,250,4.8,0.75,-0.5,1.0,,
205353395,,,,,,,,,,,,,,,,4267,400,4.9,1.5,-1.5,2.0,,
211503363,,,,,,,,,,,,,,,,5230,250,4.4,0.75,-0.5,1.0,,
211390677,,,,,,,,,,,,,,,,5000,200,4.0,0.5,-0.25,0.75,,
211351097,,,,,,,,,,,,,,,,6107,250,5.0,0.75,-0.5,1.0,,
211821192,,,,,,,,,,,,,,,,6261,250,5.0,0.75,-0.5,1.0,,
212011230,,,,,,,,,,,,,,,,4840,250,4.8,0.75,0.0,1.0,,
211633458,,,,,,,,,,,,,,,,5796,250,4.0,0.75,0.5,1.0,,
211924561,,,,,,,,,,,,,,,,7321,250,5.0,0.75,0.0,1.0,,
211953574,,,,,,,,,,,,,,,,6516,250,5.0,0.75,-0.5,1.0,,
211356358,,,,,,,,,,,,,,,,4550,300,5.0,0.75,-1.0,1.0,,
211711685,,,,,,,,,,,,,,,,5783,250,3.6,0.75,0.5,1.0,,
211892898,,,,,,,,,,,,,,,,5015,250,3.5,0.75,-0.5,1.0,,
212485410,,,,,,,,,,,,,,,,5530,250,4.4,0.75,-0.5,1.0,,
212542155,,,,,,,,,,,,,,,,6106,250,4.1,0.75,0.5,1.0,,
212317562,,,,,,,,,,,,,,,,6316,250,5.0,0.75,-0.5,1.0,,
212601540,,,,,,,,,,,,,,,,4448,250,0.2,0.75,-2.5,1.0,,
212685467,,,,,,,,,,,,,,,,5104,250,3.5,0.75,-1.0,1.0,,
128703021,,,,,,,,,,,,,,,,6216,110,4.16,0.12,0.16,0.09,,
