,mean,med,bfitllk,ralfitllk,halfnormllk,rad_min,rad_max,beta_scale,beta_loc,beta_b,beta_a,ral_scale,hnorm_scale,ral_loc,hnorm_loc
singles_1-2,0.23562922,0.19924999999999998,28.626116205007918,27.43857747688799,28.205996009577795,1.0,2.0,10.246873573593382,-0.02425403856642653,104.86903990290455,2.728931246145315,0.21788663130835595,0.2752952081691579,-0.030857228300237738,0.007916
multis_1-2,0.10098646608360302,0.059137999999999996,2423.75292182711,,-inf,1.0,2.0,9.968018225624382,4.7490999999999996e-05,84.13315453134288,0.8408796103685399,0.14365828658898522,0.15310049996263445,-0.06641819398739263,4.7491e-05
both_1-2,0.10452225268855043,0.061459,2425.4742956007503,1696.4477625338145,2133.333357747657,1.0,2.0,14.80355834412573,4.7490999999999996e-05,115.2410925947596,0.8162671559032675,0.14797081303693438,0.15782956278502588,-0.06809155893320178,4.7491e-05
singles_2-6.0,0.24335552272727276,0.21305,29.725871107629537,29.1872986848264,28.638955354559158,2.0,6.0,0.6306676315596003,0.019505573011011343,2.567411914990707,1.3893961239188415,0.1988496045127401,0.25241601445588874,-0.006339373476704605,0.026609
multis_2-6.0,0.05738005097914777,0.035452,2054.3901758447005,,-inf,2.0,6.0,11.316100522834336,0.00015867999999999996,183.15598188776886,0.9312340687332413,0.08264729924666483,0.08893675850744748,-0.037623582785339116,0.00015868
both_2-6.0,0.0645142451874455,0.037152,2005.6283152396195,1505.384357634312,1779.666372373773,2.0,6.0,5.931930227349881,0.00015867999999999996,80.90910711537677,0.8885156323811896,0.09663295663689858,0.10255306182863301,-0.046392764946925916,0.00015868
singles_6.0-15,0.2671038013888889,0.25104,17.04285588130202,13.621345793342831,14.91498585406912,6.0,15.0,0.7530825767162712,0.0007298499999999999,1.7799086012738834,0.9651549139337254,0.25796115813544174,0.3197881558905176,-0.051923682605560906,0.00072985
multis_6.0-15,0.1003816875652174,0.057966,166.86430340671538,,-inf,6.0,15.0,0.7292751768665109,0.0008134699999999998,3.1888097254921766,0.5097553204558254,0.1442796627761171,0.1519410945051678,-0.06832212368771862,0.00081347
both_6.0-15,0.14013000609271525,0.088224,157.4770668764458,95.12149416114161,129.79058632209998,6.0,15.0,0.7530953646045155,0.0007298499999999999,2.5345966873507484,0.7355393983231473,0.19278966957210072,0.20487983152258743,-0.08744936806361975,0.00072985
