# BJD_TDB RV err_RV FWHM err_FWHM BIS_SPAN err_BIS Contrast err_Contrast S-index err_S-index Ha err_Ha
# (d) (m/s) (m/s) (km/s) (km/s) (m/s) (m/s) (-) (-) (-) (-) (dex) (dex)
2458912.44137 79698.58 0.97 6.4126 0.0019 -88.27 1.95 59.892 0.018 0.1670 0.0004 0.2104 0.0002
2458912.58976 79701.09 0.94 6.4156 0.0019 -82.31 1.88 59.867 0.018 0.1692 0.0004 0.2079 0.0001
2458914.41262 79699.24 1.00 6.4144 0.0020 -90.72 2.00 59.861 0.019 0.1658 0.0004 0.2095 0.0001
2458914.56088 79698.10 0.86 6.4118 0.0017 -86.73 1.71 59.856 0.016 0.1668 0.0003 0.2083 0.0001
2458915.41249 79699.23 0.93 6.4121 0.0019 -86.12 1.87 59.788 0.017 0.1650 0.0004 0.2095 0.0001
2458915.59371 79696.48 2.09 6.4160 0.0042 -86.17 4.18 59.686 0.039 0.1606 0.0014 0.2077 0.0004
2458920.45030 79702.20 1.03 6.4059 0.0021 -87.81 2.05 59.876 0.019 0.1676 0.0004 0.2053 0.0001
2458920.60573 79704.72 1.14 6.4172 0.0023 -86.89 2.29 59.887 0.021 0.1660 0.0005 0.2078 0.0002
2458921.43915 79703.80 1.22 6.4127 0.0024 -81.32 2.43 59.971 0.023 0.1607 0.0006 0.2082 0.0002
2458921.56863 79704.73 0.95 6.4120 0.0019 -86.36 1.90 59.850 0.018 0.1650 0.0004 0.2090 0.0001
2458922.43510 79705.52 0.96 6.4179 0.0019 -85.38 1.91 59.900 0.018 0.1679 0.0003 0.2130 0.0002
2458922.62541 79705.38 1.20 6.4226 0.0024 -90.69 2.40 59.926 0.022 0.1631 0.0006 0.2082 0.0002
2458923.45988 79704.97 1.09 6.4237 0.0022 -81.68 2.17 59.893 0.020 0.1652 0.0005 0.2071 0.0002
2458974.44023 79706.28 1.42 6.4178 0.0028 -89.81 2.84 59.524 0.026 0.1688 0.0007 0.2103 0.0002
