,dec,dur,file,id,mission,ra,tcen
2084,-61.15688595,0,AllMonos_martti_tess.csv;AllMonos_martti_tess.csv;steven_martti_lacourse_targetlist_TESS.csv,167722708,TESS,103.3406448,2167
2085,-38.56423,0,AllMonos_martti_tess.csv,167756615,TESS,81.141287,2167
2086,-61.04653483,0,AllMonos_martti_tess.csv,167894019,TESS,105.7093156,2167
2087,-62.88693126,0,lacourse_jacobs_k2_table.csv;All_OsbornMarttiK2Monos.csv,167895165,TESS,105.4908835,2167
2088,-29.59931941,0,lacourse_jacobs_k2_table.csv;All_OsbornMarttiK2Monos.csv,167983141,TESS,152.1397713,2167
2089,-0.087241,0,AllMonos_martti_tess.csv,169111723,TESS,126.93034,2167
2090,-2.338359494,0,AllMonos_martti_tess.csv,169251938,TESS,161.1230145,2167
2091,-14.8331,0,AllMonos_martti_tess.csv,169483267,TESS,77.8206,2167
2092,-64.885,0.06,AllMonos_martti_tess.csv,55452495,TESS,70.67,3663.7
2093,-4.643889315,0,AllMonos_martti_tess.csv,173090104,TESS,171.7454131,2167
2094,-3.553257592,0,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,173090284,TESS,171.8256762,2167
2095,-4.362489222,0,AllMonos_martti_tess.csv,173163715,TESS,173.2932506,2167
2096,-37.750595,0,AllMonos_martti_tess.csv,175173003,TESS,115.872763,2167
2097,-2.283436,0,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,175300057,TESS,151.977842,2167
2098,-35.557677,0,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,176828796,TESS,48.667058,2167
2099,-74.77634594,0,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,176871438,TESS,100.390795,2167
2100,-11.51411581,0,lacourse_jacobs_k2_table.csv;All_OsbornMarttiK2Monos.csv,176938510,TESS,183.5468148,2167
2101,-70.430271,0,lacourse_jacobs_k2_table.csv;All_OsbornMarttiK2Monos.csv,177077475,TESS,103.206694,2167
2102,-70.12990057,0,AllMonos_martti_tess.csv,177113114,TESS,103.6650621,2167
2103,-71.32482002,0,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,177114520,TESS,103.8234556,2167
2105,-66.08732567,0,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,177181828,TESS,105.0778552,2167
2106,-73.08255829,0.169395195,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,177308367,TESS,103.3997945,3795.220694
2107,-50.63,0.24,AllMonos_martti_tess.csv;steven_martti_lacourse_targetlist_TESS.csv,267608606,TESS,114.467,3713.81
2108,-5.0535,0,AllMonos_martti_tess.csv,177960771,TESS,113.0281,2167
2109,-7.32775,0,lacourse_jacobs_k2_table.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;K2_monos_TSTWG_doc;K2_monos_TSTWG_doc,178431738,TESS,108.492824,2167
2110,-61.997,0.09,lacourse_jacobs_k2_table.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;K2_monos_TSTWG_doc,150098860,TESS,91.8,3524.3
2111,-63.896,0.16,lacourse_jacobs_k2_table.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;K2_monos_TSTWG_doc,291654889,TESS,221.043,3769.19
2112,,0,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,180220563,TESS,,2167
2113,-43.91794134,0,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,181792281,TESS,281.2774084,2167
2114,-13.08082893,0,lacourse_jacobs_k2_table.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;K2_monos_TSTWG_doc,181915193,TESS,190.8806306,2167
2115,-12.65091508,0,lacourse_jacobs_k2_table.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;K2_monos_TSTWG_doc,181915646,TESS,191.0999897,2167
2116,-44.28770829,0,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,182455270,TESS,281.847323,2167
2117,-44.19352842,0,AllMonos_martti_tess.csv,183073119,TESS,282.3763053,2167
2118,-40.991476,0,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,183513288,TESS,125.533884,2167
2119,-43.030199,0,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,184398115,TESS,29.518519,2167
2120,-6.402570273,0,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,185259409,TESS,175.1055201,2167
2121,-29.9850328,0,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,188032602,TESS,160.5370292,2167
2122,-17.251978,0,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,188579557,TESS,343.381866,2167
2123,-26.945805,0,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,189443737,TESS,142.982934,2167
2124,-42.285,0.16,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,393478594,TESS,167.756,3746.75
2125,-37.3995,0,lacourse_jacobs_k2_table.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;K2_monos_TSTWG_doc,191746706,TESS,136.1344,2167
2126,-25.598,0.44,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,139470998,TESS,35.576,3561.99
2127,-25.09625653,0,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,193274465,TESS,158.7059373,2167
2128,-37.553314,0,lacourse_jacobs_k2_table.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;K2_monos_TSTWG_doc,197596346,TESS,327.075857,2167
2129,-51.90908934,0,lacourse_jacobs_k2_table.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;K2_monos_TSTWG_doc,200135791,TESS,279.3275974,2167
2130,-49.60946942,0,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,200171985,TESS,279.4529225,2167
2131,-29.37,0.47,All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv;All_OsbornMarttiK2Monos.csv,20850278,TESS,256.104,3816.25
