,270341214
ALLWISE,J021350.08-803457.8
APASS,35211106
Bmag,9.764
BmagFlag,tycho2b3
Dec_orig,-80.5827105603112
EBVflag,schlegel
GAIA,4631997507182253184
GAIAmag,9.19331
HIP,10389.0
Hmag,8.231
ID,270341214.0
Jmag,8.454
KIC,
Kmag,8.242
PARflag,gaia2
PMflag,gaia2
POSflag,tmgaia2
RA_orig,33.4588529532926
SDSS,
SPFlag,gaia2
TESSflag,rered
TWOMASS,02134999-8034581
TWOMflag,AAA-111-111-000-0-0
TYC,9357-01044-1
Teff,6680.0
TeffFlag,dered
Tmag,8.8784
UCAC,048-001292
Vmag,9.32
VmagFlag,hipvmag
contratio,0.00558017
d,152.023
dec,-80.5827943411777
disposition,
distflag,bj2018
duplicate_id,
e_Bmag,0.04
e_Dec,0.782330291724836
e_Dec_orig,0.0249245718387484
e_GAIAmag,0.000287
e_Hmag,0.04
e_Jmag,0.024
e_Kmag,0.034
e_RA,1.15103985159014
e_RA_orig,0.0284271747354488
e_Teff,125.378
e_Tmag,0.006
e_Vmag,0.03
e_d,0.6405
e_ebv,0.0103217447
e_gaiabp,0.000965
e_gaiarp,0.001741
e_logg,0.0893489
e_lum,0.18916
e_mass,0.233008
e_plx,0.0275066
e_pmDEC,0.0504473
e_pmRA,0.0566262
e_rad,0.0610553
e_rho,0.104405
e_w1mag,0.023
e_w2mag,0.02
e_w3mag,0.02
e_w4mag,0.169
ebv,0.0352318
eclat,-70.2202873866163
eclong,293.790060318874
eneg_EBV,0.00870999
eneg_Mass,0.183083
eneg_Rad,0.0508874
eneg_Teff,99.204
eneg_dist,0.638
eneg_logg,0.0935708
eneg_lum,0.174165
eneg_rho,0.114876
epos_EBV,0.0119335
epos_Mass,0.282932
epos_Rad,0.0712231
epos_Teff,151.552
epos_dist,0.643
epos_logg,0.0851271
epos_lum,0.204155
epos_rho,0.0939341
gaiabp,9.43495
gaiaqflag,1.0
gaiarp,8.83595
gallat,-35.8842981415019
gallong,298.857559280746
logg,4.25346
lum,3.86925
lumclass,DWARF
mass,1.41
numcont,95.0
objID,517999509.0
objType,STAR
plx,6.54915
pmDEC,19.4589
pmRA,22.8491
priority,0.003854365
ra,33.4582517019987
rad,1.46863
raddflag,1.0
rho,0.445123
splists,
starchareFlag,
typeSrc,tmgaia2
version,20190415
w1mag,8.177
w2mag,8.202
w3mag,8.17
w4mag,7.971
wdflag,0.0
