,dens_ic,dens_ic_em,dens_ic_ep,dens_iso,dens_iso_em,dens_iso_ep,dens_real,dens_real_em,dens_real_ep,log_dens_ic,log_dens_ic_em,log_dens_ic_ep,log_dens_iso,log_dens_iso_em,log_dens_iso_ep,log_dens_real,log_dens_real_em,log_dens_real_ep
1435467.0,0.2763997165131113,-0.021325301204819274,0.020715804394046775,0.26901149683741665,0.1044526337455082,0.12268315457314943,0.28412062141981664,-0.0240124725769984,0.02593641580516043,-0.5584624067278486,0.03487069345365268,0.03138774607196648,-0.5702291590074292,0.2134495627593318,0.16317680030577658,-0.5464972441235142,0.038348797598209194,0.037938836904668705
2837475.0,0.3358610914245216,-0.012168674698795179,0.019114103472714385,0.2875456144110966,0.07310814493059897,0.0942637488732953,0.33774552450519607,-0.029904727990573254,0.032446550465281776,-0.47384030505494673,0.016027169817268816,0.024038311361773312,-0.541293251789383,0.1274060746206973,0.12313982637841425,-0.471410397141091,0.040263428795830336,0.03983751433098842
3427720.0,0.7944720056697377,-0.040049610205528,0.047002126151665484,0.6524125240618763,0.13287390786556807,0.12664390672854053,0.800639291736085,-0.03085833395766502,0.032090729094072845,-0.0999214011593747,0.02246402663765211,0.024962170811798468,-0.1854777106011712,0.09890445612414189,0.07704662744352421,-0.09656310050940112,0.01706973582639154,0.01706732224210976
3656476.0,0.469029057406095,-0.021119773210489013,0.02211906449326719,0.45533398395495506,0.09101947146758592,0.07595404456865279,0.47653296986104937,-0.01814065435562029,0.018644791424240137,-0.32880025093051357,0.02000968454144919,0.02001273861839814,-0.34166993481519203,0.09685359345525169,0.06699996490766424,-0.32190704647711266,0.016855625020712972,0.016668178515109877
3735871.0,0.8093550673281361,-0.06288447909284195,0.0681644223954642,0.7702940088954519,0.247060443809625,0.37856235591942494,0.8478128334095412,-0.05452205400597354,0.05763149844786686,-0.09186090984451857,0.03512638943905051,0.03511768077772707,-0.11334347993155862,0.16796092415591446,0.17360921456618356,-0.07170001376831153,0.028867579818223216,0.028561768130889217
4914923.0,0.45194897236002834,-0.022331679659815737,0.019128277817150954,0.382775282950986,0.09696877454862475,0.11548979356542177,0.43278661086387477,-0.025504661634993098,0.02694086895940556,-0.34491059676709274,0.022007649225926296,0.018002728046118632,-0.41705611380159,0.12687177185175835,0.11451656226557894,-0.3637261834788495,0.026378653977525923,0.026226647592275887
5184732.0,0.49631467044649186,-0.015733522324592488,0.025768958185683914,0.3916153277211307,0.04889909363940964,0.05206314670594874,0.5023546891082249,-0.056818287815879664,0.0629529289768932,-0.3042428874063563,0.013990381970981902,0.021982962332868006,-0.40714031836421666,0.057925004678564485,0.05420867729418005,-0.2989895395688339,0.0521272678055853,0.05127437762056189
5950854.0,0.5253720765414599,-0.029397590361445784,0.031141034727143867,0.0,0.0,0.0,0.5096516707611016,-0.031604648620877196,0.03318421690946716,-0.2795330136326061,0.025007650192172215,0.02500841426115652,-inf,,,-0.2927265477275853,0.027802835050178776,0.027395099504681386
6106415.0,0.5970233876683203,-0.02949681077250177,0.025265768958185685,0.5494997399669228,0.11146289822998806,0.12025038359502727,0.5938194341698075,-0.024846355726814928,0.025781874413191797,-0.22400865557691776,0.02200514035714818,0.0180008890564832,-0.26003250875633643,0.09845685222317835,0.085945311159417,-0.22634559317548422,0.018562689041492136,0.01845791948307804
6116048.0,0.5681077250177179,-0.025570517363571934,0.02404677533664068,0.5534016175557654,0.1702896803360971,0.1555277664149134,0.5590775493998801,-0.029244517200094133,0.030578357706578574,-0.24556930523117737,0.02000116694914783,0.018004339483082082,-0.25695957577960526,0.15971474003198366,0.10756255330507594,-0.2525279471394872,0.023333022162994987,0.02312660075025108
